dx,dy,dz,eye
-0.935018,0.334354,0.118103,left
-0.903745,0.395444,0.163917,left
-0.913534,0.345391,0.214852,left
-0.629174,0.705399,-0.326425,left
-0.717526,0.599615,-0.354427,left
-0.803018,0.469946,-0.366487,left
0.172086,0.969798,0.172856,left
-0.157196,0.970818,0.181112,left
-0.256049,0.956579,0.139267,left
-0.362605,0.919807,0.149908,left
-0.465237,0.863571,0.194422,left
-0.777728,0.628600,-0.001047,left
-0.446345,0.739772,0.503502,left
-0.225881,0.909791,-0.348221,left
-0.925225,0.378478,0.026723,left
-0.088954,0.145442,-0.985360,left
-0.426054,0.474992,-0.769974,left
-0.501050,0.393689,-0.770687,left
0.937241,0.135375,0.321330,right
0.959646,0.123131,0.252819,right
0.974114,0.117377,0.193194,right
0.987117,0.098030,0.126452,right
0.992297,0.108381,0.059997,right
0.994982,0.099414,-0.011311,right
0.989097,0.127586,-0.073551,right
0.862052,0.123934,0.491433,right
0.898371,0.088496,0.430230,right
0.928659,0.066791,0.364873,right
0.954353,0.050068,0.294455,right
0.974067,0.058723,0.218507,right
0.988945,0.032464,0.144684,right
0.996216,0.044652,0.074571,right
0.999514,0.031158,0.000214,right
0.997901,0.023702,-0.060267,right
0.989790,0.070634,-0.123802,right
0.985154,0.008435,-0.171465,right
0.973398,0.066534,-0.219247,right
0.956027,0.071882,-0.284335,right
0.969634,0.113363,-0.216699,right
0.950188,0.162763,-0.265802,right
0.937494,0.023623,-0.347198,right
0.913342,0.050349,-0.404069,right
0.908556,0.136607,-0.394797,right
0.909418,-0.028836,-0.414881,right
0.907911,0.147101,0.392504,right
0.929878,-0.302351,-0.209548,right
0.880336,0.194020,-0.432856,right
0.888893,0.095129,-0.448129,right
0.883038,0.012188,-0.469143,right
0.853426,0.139604,-0.502170,right
0.817394,0.176922,-0.548239,right
0.818281,0.093112,-0.567226,right
0.810902,0.013802,-0.585020,right
0.759928,0.050974,-0.648005,right
0.708281,0.033257,-0.705146,right
